album;fans;explicit_lyrics;duration
The Virtual Road – U2 Go Home: Live From Slane Castle Ireland EP (Remastered 2021);4827;True;1171
Summer Of Love;86;False;2686
Songs Of Experience;31953;False;3067
Songs Of Experience (Deluxe Edition);48811;False;4058
Songs Of Innocence;40715;False;2886
Songs Of Innocence (Deluxe);116119;False;5666
Ill Go Crazy If I Dont Go Crazy Tonight;44;False;2572
Magnificent;88;False;3523
No Line On The Horizon;62119;False;3219
Live From Paris;65266;False;5095
War (Deluxe Edition Remastered);58413;False;6086
U218 Singles (Deluxe Version);56256;False;7430
U218 Singles;12161;False;4669
How To Dismantle An Atomic Bomb;19154;False;3131
The Best Of 1990-2000 & B-Sides;7308;False;8947
The Best Of 1990-2000;35632;False;4306
All That You Can’t Leave Behind (20th Anniversary Edition / Super Deluxe / Remastered 2020);1544;True;16052
All That You Cant Leave Behind;45179;False;3193
The Best Of 1980-1990 & B-Sides;58679;False;7394
The Best Of 1980 - 1990;33139;False;3840
Pop;35354;False;3602
Zooropa;42632;False;3075
Achtung Baby (Deluxe Edition);83552;False;7075
Achtung Baby;25418;False;3323
Achtung Baby (30th Anniversary Edition);2531;False;15411
Rattle And Hum;56948;False;4336
The Joshua Tree;111691;False;6408
The Joshua Tree (Super Deluxe);56129;False;13023
The Unforgettable Fire (Deluxe Edition Remastered);34113;False;6718
The Unforgettable Fire (Remastered);28044;False;2559
Under A Blood Red Sky (Remastered);45710;False;2077
War (Remastered);29122;False;2525
October (Deluxe Edition Remastered);22689;False;6053
October (Remastered);14455;False;2467
Boy (Remastered);16858;False;2568
Boy (Deluxe Edition Remastered);26763;False;5707
